POSICAO;CO_ESCOLA;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
7506;28030095.0;Ribeirópolis;SE;Estadual;Urbana;100;528.79;519.96;504.42;524.17;724.4;560.35
7507;42113580.0;Fraiburgo;SC;Privada;Urbana;13;526.03;526.93;468.19;545.11;735.38;560.33
7508;41052684.0;Siqueira Campos;PR;Estadual;Urbana;20;552.12;537.61;508.27;580.65;623.0;560.33
7509;33022968.0;Nova Friburgo;RJ;Estadual;Rural;14;552.65;536.12;474.39;531.14;707.14;560.29
7510;41129407.0;Curitiba;PR;Privada;Urbana;54;550.92;526.02;520.92;571.74;631.85;560.29
7511;41155254.0;Curitiba;PR;Privada;Urbana;36;566.4;536.34;499.88;573.76;625.0;560.28
7512;25098357.0;João Pessoa;PB;Estadual;Urbana;108;542.42;523.69;500.43;540.57;694.26;560.27
7513;11007885.0;Ariquemes;RO;Estadual;Urbana;128;546.74;521.49;508.37;539.52;685.16;560.26
7514;28075420.0;Aracaju;SE;Privada;Urbana;18;556.13;527.75;480.31;517.04;720.0;560.25
7515;29191432.0;Salvador;BA;Privada;Urbana;11;530.1;528.9;511.6;510.56;720.0;560.23
7516;25126229.0;João Pessoa;PB;Privada;Urbana;19;546.06;512.93;496.05;528.19;717.89;560.23
7517;33174725.0;Nova Iguaçu;RJ;Privada;Urbana;38;551.37;522.04;497.19;567.38;663.16;560.23
