POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;LOCALIZACAO;ALUNOS;LC;CH;CN;MT;RD;MEDIA
7883;SANTA FE DO ARAGUAIA;TO;Estadual;Rural;1;444.1;555.5;404.4;480.7;360.0;448.94
7884;POTIRETAMA;CE;Estadual;Urbana;52;465.03;497.42;447.96;422.98;411.15;448.91
7885;COCOS;BA;Estadual;Urbana;64;454.19;507.22;463.8;422.69;396.56;448.89
7886;FEIRA NOVA;SE;Estadual;Urbana;5;472.76;529.24;442.36;380.06;420.0;448.88
7887;AMARANTE;PI;Estadual;Urbana;93;467.95;505.51;451.87;420.95;397.85;448.83
7888;TANGARA;RN;Estadual;Urbana;57;465.32;509.99;432.93;419.05;416.84;448.82
7889;JOAO DIAS;RN;Estadual;Urbana;15;458.93;517.19;435.67;406.99;425.33;448.82
7890;NOVA OLINDA DO NORTE;AM;Estadual;Urbana;180;458.4;497.95;440.98;410.51;436.22;448.81
7891;ALVARAES;AM;Estadual;Urbana;56;461.93;501.54;450.53;402.16;427.86;448.8
7892;MATOES DO NORTE;MA;Estadual;Urbana;9;446.73;522.57;440.72;440.49;393.33;448.77
7893;SAO SEBASTIAO DA BOA VISTA;PA;Estadual;Urbana;217;458.84;500.44;434.76;415.08;434.75;448.77
7894;MONTES CLAROS;MG;Municipal;Urbana;7;461.9;517.27;456.43;405.39;402.86;448.77
7895;BAGRE;PA;Estadual;Urbana;55;450.62;499.0;437.27;404.11;452.73;448.75
7896;SAO GABRIEL DA CACHOEIRA;AM;Estadual;Urbana;186;454.52;494.17;447.54;413.81;433.66;448.74
7897;EIRUNEPE;AM;Estadual;Urbana;132;457.4;498.48;451.61;421.66;414.55;448.74
7898;IGACI;AL;Municipal;Urbana;10;450.78;478.7;452.6;411.58;450.0;448.73
7899;MACAMBARA;RS;Estadual;Urbana;23;453.02;503.61;464.08;422.07;400.87;448.73
7900;CRUZEIRO DO SUL;AC;Municipal;Urbana;1;448.6;483.5;481.9;409.6;420.0;448.72
7901;SERRA REDONDA;PB;Estadual;Urbana;22;476.03;504.67;438.25;420.02;404.55;448.7
7902;CAMPINA DO SIMAO;PR;Estadual;Urbana;36;456.5;506.16;452.36;416.74;411.67;448.69
7903;CAMPO MAGRO;PR;Estadual;Rural;6;463.97;487.4;456.65;432.08;403.33;448.69
7904;CURUA;PA;Estadual;Urbana;28;466.23;500.58;444.66;398.34;433.57;448.68
