POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
179;Caruaru;PE;Federal;90;567.07;609.32;563.64;659.37;745.78;629.04
180;Macaé;RJ;Federal;122;580.53;606.24;576.32;648.36;732.95;628.88
181;Luz;MG;Privada;28;547.91;590.05;562.43;638.45;805.0;628.77
182;Amparo;SP;Privada;102;570.69;589.53;583.99;658.05;741.37;628.73
183;Varginha;MG;Privada;210;562.85;585.8;548.13;635.74;810.67;628.64
184;Seropédica;RJ;Federal;40;579.11;604.58;574.24;646.78;738.5;628.64
185;Muzambinho;MG;Privada;11;581.06;571.09;579.97;615.91;794.55;628.52
186;Arapiraca;AL;Federal;142;564.75;588.38;557.79;663.29;766.2;628.08
187;Florianópolis;SC;Federal;300;578.99;602.88;574.67;662.53;721.2;628.05
188;Itajubá;MG;Privada;212;566.52;585.58;561.48;641.49;783.87;627.79
189;Roca Sales;RS;Privada;22;558.42;590.67;533.05;658.61;798.18;627.79
190;Lagoa da Prata;MG;Privada;57;553.99;577.83;544.77;647.18;814.74;627.7
191;São Gonçalo;RJ;Federal;88;564.66;591.98;561.06;648.22;772.05;627.6
192;Guanhães;MG;Privada;19;547.18;591.13;526.08;673.02;798.95;627.27
193;Alto Bela Vista;SC;Estadual;2;574.45;572.85;555.2;633.05;800.0;627.11
194;Salvador;BA;Federal;550;578.25;613.63;561.32;644.85;736.87;626.99
195;Viana;ES;Federal;56;549.91;578.26;566.19;642.27;797.86;626.9
196;Valente;BA;Privada;9;566.54;595.51;544.66;602.68;824.44;626.77
197;Tupi Paulista;SP;Privada;25;554.46;580.26;568.33;643.98;786.4;626.69
198;Juazeiro do Norte;CE;Privada;301;552.19;582.95;550.56;628.08;819.67;626.69
199;Sertãozinho;SP;Federal;55;570.12;597.54;576.24;663.33;725.82;626.61
200;Caxias do Sul;RS;Federal;127;579.81;616.13;580.42;648.31;708.19;626.57
201;Itaocara;RJ;Privada;34;548.31;580.91;544.62;632.08;826.47;626.48
202;Goioerê;PR;Municipal;1;522.4;568.0;569.5;692.1;780.0;626.4
203;Rio de Janeiro;RJ;Federal;1695;575.54;604.76;562.52;646.52;742.27;626.32
204;Amargosa;BA;Privada;34;569.56;603.56;545.54;630.8;781.76;626.24
205;Ascurra;SC;Privada;4;553.22;581.0;576.0;615.45;805.0;626.14
206;Colatina;ES;Federal;220;556.82;588.81;568.1;647.3;769.64;626.13
207;Farroupilha;RS;Federal;25;568.46;604.33;566.07;683.46;708.0;626.07
208;Araxá;MG;Federal;92;556.86;573.5;544.55;620.41;834.78;626.02
209;Guarulhos;SP;Federal;2;587.2;622.7;547.0;583.1;790.0;626.0
210;Poço Fundo;MG;Privada;9;572.97;613.1;552.04;633.63;757.78;625.9
211;Monte Mor;SP;Privada;11;557.85;605.42;601.28;668.55;696.36;625.89
212;Manhumirim;MG;Privada;24;558.76;604.3;570.21;654.23;741.67;625.83
213;Passos;MG;Municipal;1;548.0;563.6;485.3;691.3;840.0;625.64
214;Águas Formosas;MG;Privada;9;572.98;598.59;552.2;628.84;775.56;625.63
215;Cândido Mota;SP;Privada;8;530.29;566.67;569.65;643.74;817.5;625.57
